feature,description,state_properties,behavior_methods,method_rows,image_rows,evidence,exact_order
core_orchestration,"device discovery, per-device quest workers and global start/stop orchestration",QuestThread|CheckQuestThread,LoadDevices|TimerCheckDevices_Tick|LoadListDevices|LoadQuest|StartQuestDevice|StartAllSelectedDevice|<StartAllSelectedDevice>b__320_0,13,0,CLR metadata + PDB + assets,runtime/protected-body proof required
auth_update,license/login/update control plane,UpdateURL|access_token,Login|UserInfo|CheckKey|CheckUpdate|AutoUpdaterOnCheckForUpdateEvent|CheckMutant|CheckLicense|GetInterNetDate|<AutoUpdaterOnCheckForUpdateEvent>b__200_0,13,0,CLR metadata + PDB + assets,runtime/protected-body proof required
account_login,account rotation and game login lifecycle,Cum_Server|STT_Server|taikhoan|matkhau|AUTOLOGIN,nhaptkmk|closeapp|vaolaigame|GetAcc,14,0,CLR metadata + PDB + assets,runtime/protected-body proof required
train_combat,auto train and combat UI state,tenmaptrain|BAITRAIN_ALL|BaiTrainSelected|BaiTrainAll|trainlevelNEW,trainLEVEL1|batdanh|tatdanh|lenbaitrain|setupautotrain,15,24,CLR metadata + PDB + assets,runtime/protected-body proof required
party_follow,party creation/join/leave/follow,autoPT,duyetPT|checkthanhvien|THOAT_VAOLAI_PT|THOAT_PT|TAO_PT_1NGUOI|theodoi|botheodoi,9,39,CLR metadata + PDB + assets,runtime/protected-body proof required
activity_actac,Ác Tặc activity state/navigation/combat,TRANGTHAITIMACTAC|TRANGTHAI_ACTAC|toado_actac|HDACTAC|MAPACTAC,danh_actac|gettoado_actac|toivitri_actac|HD_ACTAC,14,15,CLR metadata + PDB + assets,runtime/protected-body proof required
activity_thuylao,Thủy Lao activity state/navigation/combat,TRANGTHAI_THUYLAO|thuylao|sttbaithuylao,vaothuylao|hdthuylao|toinpcthuylao|setupautothuylao,10,79,CLR metadata + PDB + assets,runtime/protected-body proof required
activity_tbd,TBD/ác lệnh-style mission flow,chayTBD,toinpcTBD|nhannvTBD|laylenhbai|checklenhbai|check_dinhviphu,7,2,CLR metadata + PDB + assets,runtime/protected-body proof required
inventory_sell,"bag cleanup, trash/equipment filtering and selling",loctrangbi|cleartrangbi|banitem|sellItem,donrac|vuthettrangbi|sellItemm|checkfulltui|toinpcbanitem_daily,13,537,CLR metadata + PDB + assets,runtime/protected-body proof required
storage,bag <-> storage movement through UI,catdovaokho|Chuyendovaokho,catdovaokho|laydotrongkho,6,22,CLR metadata + PDB + assets,runtime/protected-body proof required
consumable_shop,buy/use medicine/mana/pet food/item rewards,soluongdochoi|soluongthucan|soluongmau|soluongmana|muaitem|muaItem,checkmuaitem|nhanitem|muamaumana|muadochopet,16,2,CLR metadata + PDB + assets,runtime/protected-body proof required
heal_buff,"treatment, buff and HP/mana automation",autodungmau|phantramHP|danhytrilieu,checktrilieutudong|batbuff|trilieutochaux|trilieudaily|lienketmau_manalenauto|SoluongImage_mau,12,6,CLR metadata + PDB + assets,runtime/protected-body proof required
travel_navigation,map/NPC travel and coordinate navigation,toadoX|toadoY|dichuyen|toado_actac|toadoTRENBANG|toadoclickX|toado1,gettoado_actac|Truyenvetochau|truyenmap|toinpcTBD|didau|toinpcthuylao|toinpcbanitem_daily|toinpc_duoc|toinpc_pet_daily|checkdichuyen|laytoadotrongGame,29,39,CLR metadata + PDB + assets,runtime/protected-body proof required
pet_mount,pet/follower/mount control,phanloaithucan|soluongthucan|locthucuoi,xuatpet|toinpc_pet_daily|phudaily|lenngua|xuongngua|dungphuvetochau,12,10,CLR metadata + PDB + assets,runtime/protected-body proof required
trade_transfer,trade/item/gold transfer UI,vitrigdX|vitrigdY|vitrigiaodich|trangthaigd|chuyenitem|chuyenitemvang|dungvang,,14,3,CLR metadata + PDB + assets,runtime/protected-body proof required
quest_level,quest/level progression flows,QuestThread|CheckQuestThread|IsSelectAllQuest|Quest|IsRuningQuest|chinhtuyen5x|LV10|DeviceID|Device|QuestToDo|ThoiGian|IsThoiGian|Isslnhanvat|Status|QuestName|IsSelected|Color|EStatus|IsLeader,LoadQuest|nhannvTBD|tranvTBD|huynvTBD|StartQuestDevice|.ctor|add_PropertyChanged|remove_PropertyChanged|OnPropertyChanged,54,30,CLR metadata + PDB + assets,runtime/protected-body proof required
captcha,captcha recognition/submit donor subsystem,slCAPTCHA|slgiaicaptcha|giaicaptcha|DUNGCODE,SoveNormalCapt|Nomal,10,2,CLR metadata + PDB + assets,runtime/protected-body proof required
vision_perception,"screen capture, template/color matching and coordinate extraction",ImageScreen,getsonhieuchotrenscreen|getnhieuvitrihinhanh|ScaleImage|ResizeImage|laytoadotrongGame|FindImage|FindImage_OK|FindImage_OutPoint|FindAndClick|FindAndClick_OK|FindAndClick_OnPoint|FindAndClick_Color|FindAndClick_Color_TBDTim|FindImage_Color_TBDTim|SoluongImage_mau|SoluongImage|FindAndClick_OnPoint_Color|FindColor|FindAndClick_Until_Found|FindAndClick_OnPoint_Until_Found|Not_FindAndClick_OnPoint_Until_Found|Not_FindAndClick_OnPoint,24,218,CLR metadata + PDB + assets,runtime/protected-body proof required
scheduler,timed/hẹn giờ execution,IsHenGio|HenGio|ThoiGian|IsThoiGian,TimerCheckHenGio_Tick|checktime,10,0,CLR metadata + PDB + assets,runtime/protected-body proof required
